,Product_ID,Article,Total Quantity,Total Sales,unit_price,First_Sale,Recent_Sale,Days_in_Market,Unique_purchase_dates,Per_day_Sale,Popularity_Score,Relevance_Score,Product_Cluster
1,P0001,FORMULE SANDWICH,5389,36128.5,6.5,04-01-2021,30-09-2022,635,543,66.53,0.85511811,0.85511811,2
2,P0002,CROISSANT,29990,33961.4,1.1,02-01-2021,30-09-2022,637,599,56.7,0.940345369,0.940345369,2
3,P0003,PAIN AU CHOCOLAT,25498,31423.85,1.2,02-01-2021,30-09-2022,637,598,52.55,0.93877551,0.93877551,2
4,P0004,BANETTE,23008,24853.45,1.05,02-01-2021,30-09-2022,637,600,41.42,0.941915228,0.941915228,2
5,P0005,BAGUETTE,22259,20675,0.9,02-01-2021,30-09-2022,637,600,34.46,0.941915228,0.941915228,2
6,P0006,SANDWICH COMPLET,2934,13769,4.5,02-01-2021,30-09-2022,637,528,26.08,0.8288854,0.8288854,1
7,P0007,SPECIAL BREAD,5520,13577.5,2.4,02-01-2021,30-09-2022,637,598,22.7,0.93877551,0.93877551,1
8,P0008,TRAITEUR,1476,12482.5,1.5,08-07-2021,27-09-2022,447,315,39.63,0.704697987,0.5446731,1
9,P0009,GRAND FAR BRETON,1506,10858.5,7,02-01-2021,30-09-2022,637,405,26.81,0.635792779,0.635792779,1
10,P0010,TARTELETTE,5082,10463.2,2,21-01-2021,30-09-2022,618,551,18.99,0.891585761,0.891585761,1
11,P0011,CEREAL BAGUETTE,7529,9602.7,1.25,02-01-2021,30-09-2022,637,595,16.14,0.934065934,0.934065934,1
12,P0012,VIK BREAD,3653,9365.8,2.5,02-01-2021,30-09-2022,637,365,25.66,0.57299843,0.57299843,1
13,P0013,BRIOCHE,1720,9326,5,02-01-2021,30-09-2022,637,513,18.18,0.80533752,0.80533752,1
14,P0014,GD KOUIGN AMANN,1027,8206,7.5,02-01-2021,25-09-2022,632,309,26.56,0.488924051,0.353114685,1
15,P0015,CAMPAGNE,4376,8129.7,1.8,02-01-2021,30-09-2022,637,595,13.66,0.934065934,0.934065934,1
16,P0016,BOULE 400G,4878,7616.7,1.5,02-01-2021,30-09-2022,637,597,12.76,0.937205651,0.937205651,1
17,P0017,ECLAIR,3684,7567.6,2,24-01-2021,30-09-2022,615,469,16.14,0.762601626,0.762601626,1
18,P0018,MOISSON,3394,6981.6,2,02-01-2021,30-09-2022,637,592,11.79,0.929356358,0.929356358,1
19,P0019,SAND JB EMMENTAL,1832,6776,3.5,02-01-2021,30-09-2022,637,493,13.74,0.773940345,0.773940345,1
20,P0020,COMPLET,3563,5840.6,1.5,02-01-2021,30-09-2022,637,592,9.87,0.929356358,0.929356358,1
21,P0021,KOUIGN AMANN,2397,5213.1,2.1,02-01-2021,30-09-2022,637,486,10.73,0.762951334,0.762951334,1
22,P0022,PAIN BANETTE,3043,4434.5,1.4,02-01-2021,30-09-2022,637,590,7.52,0.926216641,0.926216641,1
23,P0023,DIVERS VIENNOISERIE,850,4333.85,4,02-01-2021,28-09-2022,635,329,13.17,0.518110236,0.429932891,1
24,P0024,FINANCIER X5,1275,4167.5,3,02-01-2021,24-09-2022,631,449,9.28,0.711568938,0.49685767,1
25,P0025,PAIN AUX RAISINS,2753,4014.8,1.4,02-01-2021,30-09-2022,637,582,6.9,0.913657771,0.913657771,1
26,P0026,COOKIE,3813,4007.65,1,02-01-2021,30-09-2022,637,581,6.9,0.912087912,0.912087912,1
27,P0027,TARTE FRUITS 4P,388,3670,9,31-01-2021,24-09-2022,602,184,19.95,0.305647841,0.212743916,0
28,P0028,TARTE FRUITS 6P,283,3608,12,30-01-2021,25-09-2022,604,153,23.58,0.253311258,0.182451515,0
29,P0029,COUPE,23697,3554.55,0.15,02-01-2021,30-09-2022,637,600,5.92,0.941915228,0.941915228,1
30,P0030,BOULE 200G,3108,3527.9,1.1,02-01-2021,30-09-2022,637,578,6.1,0.907378336,0.907378336,1
31,P0031,CROISSANT AMANDES,2369,3470.6,1.4,05-01-2021,29-09-2022,633,551,6.3,0.870458136,0.776944338,1
32,P0032,PAIN CHOCO AMANDES,1929,3007.5,1.5,05-01-2021,30-09-2022,634,526,5.72,0.829652997,0.829652997,1
33,P0033,PAIN,2489,2981.75,1.15,02-01-2021,30-09-2022,637,572,5.21,0.897959184,0.897959184,1
34,P0034,DIVERS PATISSERIE,538,2886.95,0,02-01-2021,20-09-2022,627,173,16.69,0.275917065,0.173221512,0
35,P0035,BOISSON 33CL,1904,2856,1.5,04-01-2021,30-09-2022,635,489,5.84,0.77007874,0.77007874,1
36,P0036,CHAUSSON AUX POMMES,1946,2842,1.4,03-01-2021,29-09-2022,635,527,5.39,0.82992126,0.740805863,1
37,P0037,PARIS BREST,1294,2685.6,2,21-01-2021,28-09-2022,616,410,6.55,0.665584416,0.551773657,1
38,P0038,SEIGLE,1438,2669.7,1.8,02-01-2021,30-09-2022,637,541,4.93,0.849293564,0.849293564,1
39,P0039,TARTELETTE FRAISE,819,2657,3,28-03-2021,11-09-2022,533,167,15.91,0.313320826,0.163867617,0
40,P0040,PLAT 7.60E,338,2568.8,7.6,28-02-2022,30-09-2022,215,113,22.73,0.525581395,0.525581395,0
41,P0041,BAGUETTE GRAINE,1880,2493,1.3,03-01-2021,25-09-2022,631,201,12.4,0.318541997,0.230038286,0
42,P0042,TARTE FRAISE 6P,128,2493,18,28-03-2021,17-09-2022,539,75,33.24,0.139146568,0.080780243,0
43,P0043,PT NANTAIS,761,2486,3,25-07-2021,24-09-2022,427,243,10.23,0.569086651,0.386322338,1
44,P0044,CAFE OU EAU,2366,2366,1,02-01-2021,30-09-2022,637,488,4.85,0.766091052,0.766091052,1
45,P0045,QUIM BREAD,2193,2320.1,1,02-01-2021,30-09-2022,637,519,4.47,0.814756672,0.814756672,1
46,P0046,SPECIAL BREAD KG,467,2296.6,4.8,02-01-2021,30-09-2022,637,384,5.98,0.602825746,0.602825746,1
47,P0047,FLAN,1097,2265.4,2,21-01-2021,30-09-2022,618,404,5.61,0.653721683,0.653721683,1
48,P0048,MILLES FEUILLES,1056,2244.9,2,23-01-2021,30-09-2022,616,318,7.06,0.516233766,0.516233766,1
49,P0049,TARTE FRAISE 4PER,169,2170,12,28-03-2021,28-08-2022,519,89,24.38,0.171483622,0.074788766,0
50,P0050,FICELLE,3449,2166.9,0.6,02-01-2021,30-09-2022,637,589,3.68,0.924646782,0.924646782,1
51,P0051,SACHET VIENNOISERIE,515,2060,4,05-01-2021,28-07-2022,570,270,7.63,0.473684211,0.162163793,0
52,P0052,BANETTINE,3120,1969.1,0.6,02-01-2021,30-09-2022,637,595,3.31,0.934065934,0.934065934,1
53,P0053,FRAISIER,599,1946,3,02-04-2021,21-08-2022,507,111,17.53,0.218934911,0.088442496,0
54,P0054,DIVERS CONFISERIE,503,1804.43,3,03-01-2021,30-09-2022,636,294,6.14,0.462264151,0.462264151,1
55,P0055,FLAN ABRICOT,801,1736.6,2.1,22-01-2021,30-09-2022,617,310,5.6,0.502431118,0.502431118,1
