ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,All Saints' Day,All Saints' Day_lower,All Saints' Day_upper,Armistice Day,Armistice Day_lower,Armistice Day_upper,Ascension Day,Ascension Day_lower,Ascension Day_upper,Assumption Day,Assumption Day_lower,Assumption Day_upper,Christmas Day,Christmas Day_lower,Christmas Day_upper,Easter Monday,Easter Monday_lower,Easter Monday_upper,Labor Day,Labor Day_lower,Labor Day_upper,National Day,National Day_lower,National Day_upper,New Year's Day,New Year's Day_lower,New Year's Day_upper,Victory Day,Victory Day_lower,Victory Day_upper,Weekly-Increase Fourier Order,Weekly-Increase Fourier Order_lower,Weekly-Increase Fourier Order_upper,Whit Monday,Whit Monday_lower,Whit Monday_upper,Yearly Seasonality increase fourier_order,Yearly Seasonality increase fourier_order_lower,Yearly Seasonality increase fourier_order_upper,additive_terms,additive_terms_lower,additive_terms_upper,holidays,holidays_lower,holidays_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2021-01-01,916.1037792000001,1611.2742554638535,2069.2670123973126,916.1037792000001,916.1037792000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1138.6214236,1138.6214236,1138.6214236,0.0,0.0,0.0,-69.41011264772308,-69.41011264772308,-69.41011264772308,0.0,0.0,0.0,-144.31239943698728,-144.31239943698728,-144.31239943698728,924.8989115152896,924.8989115152896,924.8989115152896,1138.6214236,1138.6214236,1138.6214236,0.0,0.0,0.0,1841.0026907152896
2021-01-02,915.8137871675353,651.2166643225964,1132.4306573282884,915.8137871675353,915.8137871675353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139.09579758931818,139.09579758931818,139.09579758931818,0.0,0.0,0.0,-154.81438028639062,-154.81438028639062,-154.81438028639062,-15.718582697072454,-15.718582697072454,-15.718582697072454,0.0,0.0,0.0,0.0,0.0,0.0,900.0952044704629
2021-01-03,915.5237951350707,958.4470283998982,1444.8798245376747,915.5237951350707,915.5237951350707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,452.57243441266826,452.57243441266826,452.57243441266826,0.0,0.0,0.0,-166.46577050705386,-166.46577050705386,-166.46577050705386,286.1066639056145,286.1066639056145,286.1066639056145,0.0,0.0,0.0,0.0,0.0,0.0,1201.6304590406853
2021-01-04,915.233803102606,400.0864969830924,866.8510598006079,915.233803102606,915.233803102606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-100.45487011305394,-100.45487011305394,-100.45487011305394,0.0,0.0,0.0,-179.05972753633614,-179.05972753633614,-179.05972753633614,-279.5145976493902,-279.5145976493902,-279.5145976493902,0.0,0.0,0.0,0.0,0.0,0.0,635.7192054532157
2021-01-05,914.9438110701414,354.3127844988949,827.2892101080142,914.9438110701414,914.9438110701414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-140.2813613686346,-140.2813613686346,-140.2813613686346,0.0,0.0,0.0,-192.3717335390572,-192.3717335390572,-192.3717335390572,-332.6530949076918,-332.6530949076918,-332.6530949076918,0.0,0.0,0.0,0.0,0.0,0.0,582.2907161624496
2021-01-06,914.6538190376766,339.8468945693007,792.4653235259325,914.6538190376766,914.6538190376766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-142.7581730548242,-142.7581730548242,-142.7581730548242,0.0,0.0,0.0,-206.1660503827323,-206.1660503827323,-206.1660503827323,-348.9242234375565,-348.9242234375565,-348.9242234375565,0.0,0.0,0.0,0.0,0.0,0.0,565.7295956001201
2021-01-07,914.3638270052121,337.16786221572363,796.225094448646,914.3638270052121,914.3638270052121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-138.763714819889,-138.763714819889,-138.763714819889,0.0,0.0,0.0,-220.20249500615483,-220.20249500615483,-220.20249500615483,-358.9662098260438,-358.9662098260438,-358.9662098260438,0.0,0.0,0.0,0.0,0.0,0.0,555.3976171791683
2021-01-08,914.0738349727474,376.66231220109853,852.2393416271963,914.0738349727474,914.0738349727474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-69.41011264736646,-69.41011264736646,-69.41011264736646,0.0,0.0,0.0,-234.24328844135295,-234.24328844135295,-234.24328844135295,-303.6534010887195,-303.6534010887195,-303.6534010887195,0.0,0.0,0.0,0.0,0.0,0.0,610.420433884028
2021-01-09,913.7838429402825,559.9833869016848,1036.0232339535344,913.7838429402825,913.7838429402825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139.09579758888663,139.09579758888663,139.09579758888663,0.0,0.0,0.0,-248.05972802668785,-248.05972802668785,-248.05972802668785,-108.96393043780122,-108.96393043780122,-108.96393043780122,0.0,0.0,0.0,0.0,0.0,0.0,804.8199125024813
2021-01-10,913.493850907818,878.5496983109616,1348.5873530602016,913.493850907818,913.493850907818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,452.5724344127638,452.5724344127638,452.5724344127638,0.0,0.0,0.0,-261.43843832352195,-261.43843832352195,-261.43843832352195,191.13399608924178,191.13399608924178,191.13399608924178,0.0,0.0,0.0,0.0,0.0,0.0,1104.6278469970598
2021-01-11,913.2038588753533,298.58389626189694,771.2971505724557,913.2038588753533,913.2038588753533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-100.4548701109791,-100.4548701109791,-100.4548701109791,0.0,0.0,0.0,-274.1869717451198,-274.1869717451198,-274.1869717451198,-374.6418418560989,-374.6418418560989,-374.6418418560989,0.0,0.0,0.0,0.0,0.0,0.0,538.5620170192544
2021-01-12,912.9138668428886,251.29544374814816,712.618367248209,912.9138668428886,912.9138668428886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-140.28136136818154,-140.28136136818154,-140.28136136818154,0.0,0.0,0.0,-286.1385543706629,-286.1385543706629,-286.1385543706629,-426.41991573884457,-426.41991573884457,-426.41991573884457,0.0,0.0,0.0,0.0,0.0,0.0,486.4939511040441
2021-01-13,912.6238748104239,239.11028666545423,707.2967598918913,912.6238748104239,912.6238748104239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-142.7581730543443,-142.7581730543443,-142.7581730543443,0.0,0.0,0.0,-297.15580495269876,-297.15580495269876,-297.15580495269876,-439.91397800704294,-439.91397800704294,-439.91397800704294,0.0,0.0,0.0,0.0,0.0,0.0,472.70989680338096
2021-01-14,912.3338827779592,249.3110791813871,706.240212272397,912.3338827779592,912.3338827779592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-138.76371481997742,-138.76371481997742,-138.76371481997742,0.0,0.0,0.0,-307.1332945138625,-307.1332945138625,-307.1332945138625,-445.89700933384,-445.89700933384,-445.89700933384,0.0,0.0,0.0,0.0,0.0,0.0,466.43687344411916
2021-01-15,912.0438907454945,286.7241649552511,761.9986804288849,912.0438907454945,912.0438907454945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-69.41011264704835,-69.41011264704835,-69.41011264704835,0.0,0.0,0.0,-315.9988586836059,-315.9988586836059,-315.9988586836059,-385.4089713306542,-385.4089713306542,-385.4089713306542,0.0,0.0,0.0,0.0,0.0,0.0,526.6349194148404
2021-01-16,911.7538987130298,482.51939059187526,958.764546211483,911.7538987130298,911.7538987130298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139.0957975896812,139.0957975896812,139.0957975896812,0.0,0.0,0.0,-323.7136233443991,-323.7136233443991,-323.7136233443991,-184.61782575471784,-184.61782575471784,-184.61782575471784,0.0,0.0,0.0,0.0,0.0,0.0,727.136072958312
2021-01-17,911.4639066805653,819.7053213710142,1261.1472785615017,911.4639066805653,911.4639066805653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,452.57243441290757,452.57243441290757,452.57243441290757,0.0,0.0,0.0,-330.2707543858212,-330.2707543858212,-330.2707543858212,122.30168002708652,122.30168002708652,122.30168002708652,0.0,0.0,0.0,0.0,0.0,0.0,1033.765586707652
