,Article,Total Quantity,Total Sales,unit_price,First_Sale,Recent_Sale,Days_in_Market,Unique_purchase_dates,Per_day_Sale,Popularity_Score,Relevance_Score
0,TRADITIONAL BAGUETTE,118723.0,146311.45,1.2,2021-01-02,2022-09-30,637,600,229.69,0.9419152276295133,0.9419152276295133
1,FORMULE SANDWICH,5389.0,36128.5,6.5,2021-01-04,2022-09-30,635,543,56.9,0.8551181102362204,0.8551181102362204
2,CROISSANT,29990.0,33961.4,1.1,2021-01-02,2022-09-30,637,599,53.31,0.9403453689167975,0.9403453689167975
3,PAIN AU CHOCOLAT,25498.0,31423.85,1.2,2021-01-02,2022-09-30,637,598,49.33,0.9387755102040817,0.9387755102040817
4,BANETTE,23008.0,24853.45,1.05,2021-01-02,2022-09-30,637,600,39.02,0.9419152276295133,0.9419152276295133
5,BAGUETTE,22259.0,20675.0,0.9,2021-01-02,2022-09-30,637,600,32.46,0.9419152276295133,0.9419152276295133
6,SANDWICH COMPLET,2934.0,13769.0,4.5,2021-01-02,2022-09-30,637,528,21.62,0.8288854003139717,0.8288854003139717
7,SPECIAL BREAD,5520.0,13577.5,2.4,2021-01-02,2022-09-30,637,598,21.31,0.9387755102040817,0.9387755102040817
8,TRAITEUR,1476.0,12482.5,1.5,2021-07-08,2022-09-27,447,315,27.93,0.7046979865771812,0.544673099919713
9,GRAND FAR BRETON,1506.0,10858.5,7.0,2021-01-02,2022-09-30,637,405,17.05,0.6357927786499215,0.6357927786499215
10,TARTELETTE,5082.0,10463.2,2.0,2021-01-21,2022-09-30,618,551,16.93,0.8915857605177994,0.8915857605177994
11,CEREAL BAGUETTE,7529.0,9602.7,1.25,2021-01-02,2022-09-30,637,595,15.07,0.9340659340659341,0.9340659340659341
12,VIK BREAD,3653.0,9365.8,2.5,2021-01-02,2022-09-30,637,365,14.7,0.5729984301412873,0.5729984301412873
13,BRIOCHE,1720.0,9326.0,5.0,2021-01-02,2022-09-30,637,513,14.64,0.8053375196232339,0.8053375196232339
14,GD KOUIGN AMANN,1027.0,8206.0,7.5,2021-01-02,2022-09-25,632,309,12.98,0.4889240506329114,0.35311468478457425
15,CAMPAGNE,4376.0,8129.7,1.8,2021-01-02,2022-09-30,637,595,12.76,0.9340659340659341,0.9340659340659341
16,BOULE 400G,4878.0,7616.7,1.5,2021-01-02,2022-09-30,637,597,11.96,0.9372056514913658,0.9372056514913658
17,ECLAIR,3684.0,7567.6,2.0,2021-01-24,2022-09-30,615,469,12.31,0.7626016260162601,0.7626016260162601
18,MOISSON,3394.0,6981.6,2.0,2021-01-02,2022-09-30,637,592,10.96,0.9293563579277865,0.9293563579277865
19,SAND JB EMMENTAL,1832.0,6776.0,3.5,2021-01-02,2022-09-30,637,493,10.64,0.7739403453689168,0.7739403453689168
20,COMPLET,3563.0,5840.6,1.5,2021-01-02,2022-09-30,637,592,9.17,0.9293563579277865,0.9293563579277865
21,KOUIGN AMANN,2397.0,5213.1,2.1,2021-01-02,2022-09-30,637,486,8.18,0.7629513343799058,0.7629513343799058
22,PAIN BANETTE,3043.0,4434.5,1.4,2021-01-02,2022-09-30,637,590,6.96,0.9262166405023547,0.9262166405023547
23,DIVERS VIENNOISERIE,850.0,4333.85,4.0,2021-01-02,2022-09-28,635,329,6.82,0.5181102362204725,0.42993289096743575
24,FINANCIER X5,1275.0,4167.5,3.0,2021-01-02,2022-09-24,631,449,6.6,0.7115689381933439,0.4968576702594147
25,PAIN AUX RAISINS,2753.0,4014.8,1.4,2021-01-02,2022-09-30,637,582,6.3,0.9136577708006279,0.9136577708006279
26,COOKIE,3813.0,4007.65,1.0,2021-01-02,2022-09-30,637,581,6.29,0.9120879120879121,0.9120879120879121
27,TARTE FRUITS 4P,388.0,3670.0,9.0,2021-01-31,2022-09-24,602,184,6.1,0.30564784053156147,0.21274391555870134
28,TARTE FRUITS 6P,283.0,3608.0,12.0,2021-01-30,2022-09-25,604,153,5.97,0.2533112582781457,0.18245151476456695
29,COUPE,23697.0,3554.55,0.15,2021-01-02,2022-09-30,637,600,5.58,0.9419152276295133,0.9419152276295133
